"title";"price";"city";"street";"rooms";"square_m2";"floor";"link"
"3-комнатная квартира · 55 м² · 8/9 этаж";"20 000 000";"Aktobe";"мкр 5, проспект абая 10 — Проспект абая - Есет Батыра";"3";"55";"8/9";""
"3-комнатная квартира · 55 м² · 8/9 этаж";"20 000 000";"Aktobe";"мкр 5, проспект абая 10 — Проспект абая - Есет Батыра";"3";"55";"8/9";""
"1-комнатная квартира · 50 м² · 4/9 этаж";"16 800 000";"Aktobe";"мкр. Алтын орда, Мкр. Батыс-2 1Г";"1";"50";"4/9";""
"2-комнатная квартира · 83 м² · 10/10 этаж";"37 000 000";"Aktobe";"мкр. Алтын орда, ул. Сактагана Баишева 7а к1 — Мангилик ел и Молдагулова";"2";"83";"10/10";""
"3-комнатная квартира · 105 м² · 3/5 этаж";"45 000 000";"Aktobe";"мкр. Алтын орда 29а";"3";"105";"3/5";""
"2-комнатная квартира · 40 м² · 2/5 этаж";"13 800 000";"Aktobe";"Старый город, Уалиханова 22";"2";"40";"2/5";""
"2-комнатная квартира · 65 м² · 4/5 этаж";"26 500 000";"Aktobe";"мкр. Алтын орда, Халел Досмухамедулы 32";"2";"65";"4/5";""
"3-комнатная квартира · 89 м² · 2/10 этаж";"28 000 000";"Aktobe";"мкр. Курмыш, набережная 82";"3";"89";"2/10";""
"3-комнатная квартира · 88 м² · 3/9 этаж";"35 000 000";"Aktobe";"мкр. Алтын орда, Микрорайон Алтын Орда 351";"3";"88";"3/9";""
"3-комнатная квартира · 99 м² · 4/9 этаж";"43 000 000";"Aktobe";"мкр. Алтын орда, Алтын орла 101 б";"3";"99";"4/9";""
"2-комнатная квартира · 89 м² · 6 этаж";"43 500 000";"Aktobe";"мкр. Алтын орда 51 в — Жк премьера";"2";"89";"";""
"5-комнатная квартира · 258.6 м²";"110 000 000";"Aktobe";"Абилкайыр хана 61";"5";"258.6";"";""
"3-комнатная квартира · 112 м² · 3/9 этаж";"58 500 000";"Aktobe";"мкр. Алтын орда, Санкибай-батыра";"3";"112";"3/9";""
"4-комнатная квартира · 153.14 м² · 3/8 этаж";"84 220 000";"Aktobe";"Г.Жубановой 1 — Г.Жубановой /ул. Утегена Сейтова  в районе парка Президента";"4";"153.14";"3/8";""
"2-комнатная квартира · 75 м² · 8/8 этаж";"23 500 000";"Aktobe";"мкр. Алтын орда, Досмухамедулы";"2";"75";"8/8";""
"3-комнатная квартира · 64 м² · 8/10 этаж";"19 500 000";"Aktobe";"Старый город — Возле прокуроры";"3";"64";"8/10";""
"2-комнатная квартира · 80 м² · 6/9 этаж";"24 000 000";"Aktobe";"Нур Актобе, Нур сити 16В";"2";"80";"6/9";""
"2-комнатная квартира · 62 м² · 6/25 этаж";"15 500 000";"Aktobe";"мкр 11 112 в";"2";"62";"6/25";""
"4-комнатная квартира · 120 м² · 2/5 этаж";"55 000 000";"Aktobe";"мкр. Алтын орда, Халел досмухамедулы";"4";"120";"2/5";""
